Co 5297 the co khai cuoc lam diem xuat phat
Da co san 769 the co trong data_w3.jsonl
3275/6216000 | khai 752, trung 1002, tan 752 | nhan: chessdb 0, engine 2506 | 649 mau/phut
3300/6216000 | khai 760, trung 1012, tan 759 | nhan: chessdb 0, engine 2531 | 648 mau/phut
3325/6216000 | khai 767, trung 1022, tan 767 | nhan: chessdb 0, engine 2556 | 648 mau/phut
3350/6216000 | khai 775, trung 1032, tan 774 | nhan: chessdb 0, engine 2581 | 647 mau/phut
3375/6216000 | khai 782, trung 1042, tan 782 | nhan: chessdb 0, engine 2606 | 647 mau/phut
3400/6216000 | khai 790, trung 1052, tan 789 | nhan: chessdb 0, engine 2631 | 646 mau/phut
3425/6216000 | khai 797, trung 1062, tan 797 | nhan: chessdb 0, engine 2656 | 646 mau/phut
3450/6216000 | khai 805, trung 1072, tan 804 | nhan: chessdb 0, engine 2681 | 647 mau/phut
3475/6216000 | khai 812, trung 1082, tan 812 | nhan: chessdb 0, engine 2706 | 646 mau/phut
3500/6216000 | khai 820, trung 1092, tan 819 | nhan: chessdb 0, engine 2731 | 646 mau/phut
3525/6216000 | khai 827, trung 1102, tan 827 | nhan: chessdb 0, engine 2756 | 645 mau/phut
3550/6216000 | khai 835, trung 1112, tan 834 | nhan: chessdb 0, engine 2781 | 646 mau/phut
3575/6216000 | khai 842, trung 1122, tan 842 | nhan: chessdb 0, engine 2806 | 640 mau/phut
3600/6216000 | khai 850, trung 1132, tan 849 | nhan: chessdb 0, engine 2831 | 639 mau/phut
3625/6216000 | khai 857, trung 1142, tan 857 | nhan: chessdb 0, engine 2856 | 639 mau/phut
3650/6216000 | khai 865, trung 1152, tan 864 | nhan: chessdb 0, engine 2881 | 640 mau/phut
3675/6216000 | khai 872, trung 1162, tan 872 | nhan: chessdb 0, engine 2906 | 640 mau/phut
3700/6216000 | khai 880, trung 1172, tan 879 | nhan: chessdb 0, engine 2931 | 640 mau/phut
3725/6216000 | khai 887, trung 1182, tan 887 | nhan: chessdb 0, engine 2956 | 637 mau/phut
3750/6216000 | khai 895, trung 1192, tan 894 | nhan: chessdb 0, engine 2981 | 637 mau/phut
3775/6216000 | khai 902, trung 1202, tan 902 | nhan: chessdb 0, engine 3006 | 636 mau/phut
3800/6216000 | khai 910, trung 1212, tan 909 | nhan: chessdb 0, engine 3031 | 636 mau/phut
